Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
1520 union st,Oakland,Alameda-County,Ca,94607-2221,949000.0,0.0,0.0,3.0,2.0,1414.0,Single family residential,1911.0,New
874 36th st,Oakland,Alameda-County,Ca,94608,1016888.0,88.0,91.0,5.0,4.0,2766.0,Multi-family (2-4 unit),1912.0,New
5340 broadway ter #606,Oakland,Alameda-County,Ca,94618,695000.0,0.0,0.0,2.0,2.0,986.0,Condo,1971.0,New
6154 mazuela dr,Oakland,Alameda-County,Ca,94611,1749000.0,0.0,0.0,4.0,4.0,3477.0,Single family residential,2002.0,New
26088 kay ave #301,Hayward,Alameda-County,Ca,94545,475000.0,0.0,0.0,2.0,1.0,840.0,Condo,1985.0,New
32510 karen ct,Union city,Alameda-County,Ca,94587,1450000.0,13.0,48.0,4.0,2.0,1682.0,Single family residential,1975.0,New
3043 capp st,Oakland,Alameda-County,Ca,94602,749950.0,0.0,0.0,3.0,2.0,1208.0,Single family residential,1908.0,New
21529 dolores st,Castro valley,Alameda-County,Ca,94546,749900.0,68.0,79.0,2.0,1.0,1018.0,Single family residential,1948.0,New
2101 havenscourt blvd,Oakland,Alameda-County,Ca,94621,628000.0,73.0,59.0,3.0,2.0,1807.0,Single family residential,1922.0,New
19841 edwin markham dr,Castro valley,Alameda-County,Ca,94552,1049000.0,9.0,19.0,3.0,2.0,1852.0,Single family residential,1985.0,New
1438 lakeshore ave #1,Oakland,Alameda-County,Ca,94606,550000.0,0.0,0.0,1.0,1.0,824.0,Condo,1933.0,New
2629 octavia st,Oakland,Alameda-County,Ca,94619,569000.0,64.0,67.0,3.0,1.0,958.0,Single family residential,1922.0,New
1468 grand ave #18,San leandro,Alameda-County,Ca,94577,90000.0,74.0,58.0,1.0,1.0,375.0,Single-wide mobile home,2020.0,Active
3850 great salt lake ct,Fremont,Alameda-County,Ca,94555,1199000.0,0.0,0.0,3.0,2.5,1335.0,Single family home,1978.0,Active
551 22nd st,Oakland,Alameda-County,Ca,94612,699000.0,97.0,95.0,5.0,2.0,2241.0,Single family residential,1902.0,New
4376 hyde cmn,Fremont,Alameda-County,Ca,94538,1399800.0,0.0,0.0,4.0,3.5,1737.0,Single family residential,2010.0,New
16386 mateo st,San leandro,Alameda-County,Ca,94578,799000.0,70.0,55.0,2.0,1.0,1018.0,Single family residential,1947.0,New
763 franklin st #418,Oakland,Alameda-County,Ca,94607,369000.0,0.0,0.0,1.0,1.0,682.0,Condo,1989.0,New
359 bellevue ave,Oakland,Alameda-County,Ca,94610,1998000.0,89.0,85.0,6.0,4.0,3093.0,Single family residential,1909.0,Active
9840 lawlor st,Oakland,Alameda-County,Ca,94605,550000.0,0.0,0.0,2.0,1.0,733.0,Single family residential,1920.0,New
